Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,81.07,255.86,84.06,45.67,129.73,40.93,11.98,1.94,4.50,0.26,NA,NA,NA,11.66,7.74,24.96,70.60,0.24,207.84,NA,0.00,NA,NA,NA
2021-01-01 01:00:00,96.87,308.85,100.65,35.04,135.69,40.53,13.37,2.08,3.90,0.32,NA,NA,NA,15.57,11.47,24.26,78.55,0.24,176.15,NA,0.00,NA,NA,NA
2021-01-01 02:00:00,109.86,341.87,90.90,33.90,124.80,38.74,13.46,2.10,3.91,0.47,NA,NA,NA,16.55,9.94,24.04,74.50,0.21,165.74,NA,0.00,NA,NA,NA
2021-01-01 03:00:00,91.21,289.49,94.21,27.43,121.64,38.29,13.51,2.12,3.59,0.56,NA,NA,NA,18.75,19.18,23.68,76.92,0.21,208.17,NA,0.00,NA,NA,NA
2021-01-01 04:00:00,89.02,273.54,94.83,24.25,119.06,37.21,13.35,2.10,4.00,0.60,NA,NA,NA,14.52,9.22,23.52,78.40,0.28,146.80,NA,0.00,NA,NA,NA
2021-01-01 05:00:00,87.02,270.51,105.42,21.90,127.32,38.39,15.02,2.12,3.90,0.60,NA,NA,NA,18.66,10.93,23.56,79.22,0.32,162.30,NA,0.00,NA,NA,NA
2021-01-01 06:00:00,87.00,288.57,115.64,24.47,140.11,36.98,15.90,2.15,3.59,0.56,NA,NA,NA,15.70,17.54,23.67,78.76,0.39,150.17,NA,0.00,NA,NA,NA
2021-01-01 07:00:00,97.91,314.98,110.15,24.10,134.27,38.21,15.03,2.10,5.63,0.48,NA,NA,NA,19.14,12.47,24.05,76.71,0.55,144.90,NA,0.00,NA,NA,NA
2021-01-01 08:00:00,107.89,316.29,89.58,38.09,127.66,32.58,12.52,2.05,36.24,0.56,NA,NA,NA,17.11,17.93,25.70,69.67,0.74,105.97,NA,0.00,NA,NA,NA
2021-01-01 09:00:00,74.38,230.09,81.94,46.66,128.60,30.64,11.29,1.90,47.67,0.48,NA,NA,NA,20.45,15.33,28.03,62.75,0.55,118.24,NA,0.00,NA,NA,NA
