Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2024-01-01 00:00:00,73.64,207.25,84.66,102.30,186.96,10.58,31.84,1.86,12.48,4.49,NA,NA,NA,4.30,8.13,24.00,74.76,NA,231.81,NA,0.00,NA,1014.68,NA
2024-01-01 01:00:00,89.00,228.70,93.91,113.48,207.39,11.74,31.37,2.08,12.76,4.92,NA,NA,NA,4.56,7.49,23.95,77.14,NA,185.90,NA,0.00,NA,1014.42,NA
2024-01-01 02:00:00,99.66,239.82,104.92,126.78,231.70,13.11,29.97,2.22,13.04,5.66,NA,NA,NA,3.67,9.59,23.68,77.52,0.08,203.60,NA,0.00,NA,1013.91,NA
2024-01-01 03:00:00,98.42,216.63,101.81,123.02,224.82,12.72,31.08,2.18,13.95,6.08,NA,NA,NA,4.33,9.28,23.36,76.60,NA,211.54,NA,0.00,NA,1013.60,NA
2024-01-01 04:00:00,76.04,166.68,87.76,106.05,193.82,10.97,30.10,1.93,12.95,5.72,NA,NA,NA,3.86,9.25,23.64,75.66,0.12,162.71,NA,0.00,NA,1013.61,NA
2024-01-01 05:00:00,70.78,134.12,72.70,87.84,160.54,9.09,31.16,1.56,12.74,5.66,NA,NA,NA,4.15,7.54,23.80,76.46,0.34,157.73,NA,0.00,NA,1013.89,NA
2024-01-01 06:00:00,64.47,124.61,53.44,64.57,118.02,6.68,32.70,1.15,12.06,4.52,NA,NA,NA,4.68,6.69,23.44,79.16,0.61,141.92,NA,0.00,NA,1014.52,NA
2024-01-01 07:00:00,66.94,133.45,45.98,55.56,101.54,5.75,32.28,0.99,12.03,3.86,NA,NA,NA,3.73,6.44,23.33,80.48,0.16,137.39,NA,0.00,13.17,1015.12,NA
2024-01-01 08:00:00,71.38,162.07,48.88,59.06,107.94,6.11,32.50,1.05,11.74,3.90,NA,NA,NA,3.48,5.92,24.81,78.06,0.50,135.63,NA,0.00,98.51,1015.66,NA
2024-01-01 09:00:00,76.72,166.88,43.66,52.76,96.42,5.46,31.40,0.96,11.79,4.10,NA,NA,NA,3.00,3.83,27.24,67.73,0.65,118.70,NA,0.00,192.26,1016.36,NA
2024-01-01 10:00:00,71.90,147.73,38.07,46.00,83.87,4.75,29.15,0.83,12.40,3.14,NA,NA,NA,3.53,6.48,29.05,60.30,1.36,86.08,NA,0.00,378.61,1016.25,NA
2024-01-01 11:00:00,63.25,126.48,34.13,41.24,75.37,4.27,29.92,0.73,15.95,3.45,NA,NA,NA,3.42,5.14,30.85,52.62,1.11,189.54,NA,0.00,475.10,1015.58,NA
2024-01-01 12:00:00,51.67,108.09,30.04,36.29,66.32,3.75,30.45,0.64,17.70,3.08,NA,NA,NA,3.06,4.32,32.83,47.01,1.91,232.00,NA,0.00,492.09,1014.53,NA
2024-01-01 13:00:00,49.14,109.50,33.63,40.64,74.28,4.20,30.18,0.70,22.57,3.33,NA,NA,NA,2.64,5.58,31.33,56.30,3.06,287.08,NA,0.00,464.48,1013.64,NA
2024-01-01 14:00:00,58.01,128.60,36.80,44.46,81.26,4.60,30.92,0.80,30.17,4.56,NA,NA,NA,2.60,4.13,30.11,61.54,2.99,280.82,NA,0.00,401.05,1012.72,NA
2024-01-01 15:00:00,65.10,127.61,33.94,41.01,74.95,4.23,30.73,0.75,34.65,3.68,NA,NA,NA,2.96,4.28,29.84,62.38,2.86,301.11,NA,0.00,290.55,1012.26,NA
2024-01-01 16:00:00,61.68,118.24,31.92,38.56,70.48,3.99,30.41,0.69,33.11,3.12,NA,NA,NA,2.65,3.00,29.30,64.33,3.06,292.98,NA,0.00,165.48,1012.17,NA
2024-01-01 17:00:00,53.22,109.70,29.32,35.42,64.74,3.66,29.74,0.64,27.64,2.51,NA,NA,NA,2.65,3.36,28.36,69.16,3.00,304.93,NA,0.00,41.51,1012.50,NA
2024-01-01 18:00:00,53.72,108.57,30.81,37.22,68.05,3.85,27.26,0.66,16.98,2.08,NA,NA,NA,2.98,4.30,27.56,69.83,2.30,308.12,NA,0.00,NA,1013.16,NA
2024-01-01 19:00:00,56.15,117.10,36.24,43.79,80.03,4.53,28.43,0.79,14.20,2.63,NA,NA,NA,3.47,4.99,26.96,72.90,1.52,306.65,NA,0.00,NA,1014.02,NA
2024-01-01 20:00:00,61.24,122.12,38.86,46.95,85.80,4.86,28.02,0.83,13.44,2.58,NA,NA,NA,3.14,5.59,26.34,74.70,1.57,304.62,NA,0.00,NA,1014.89,NA
2024-01-01 21:00:00,62.00,123.37,42.62,51.50,94.12,5.33,28.23,0.92,12.47,2.66,NA,NA,NA,2.84,6.14,25.62,78.52,0.50,280.84,NA,0.00,NA,1015.32,NA
2024-01-01 22:00:00,60.71,126.48,45.78,55.32,101.10,5.72,29.41,1.00,12.36,2.71,NA,NA,NA,2.67,5.81,25.44,75.98,0.30,284.85,NA,0.00,NA,1015.42,NA
2024-01-01 23:00:00,64.38,136.48,53.59,64.59,118.04,6.68,30.43,1.15,12.87,3.06,NA,NA,NA,3.94,4.81,24.87,76.77,0.20,289.22,NA,0.00,NA,1015.06,NA
2024-01-02 00:00:00,62.85,141.78,55.74,67.35,123.09,6.96,30.20,1.20,13.00,3.69,NA,NA,NA,3.51,5.92,24.01,79.85,0.14,257.25,NA,0.00,NA,1014.43,NA
2024-01-02 01:00:00,66.38,146.87,63.02,76.15,139.17,7.88,30.81,1.34,13.42,3.72,NA,NA,NA,4.18,6.65,23.38,82.59,0.16,254.88,NA,0.00,NA,1014.03,NA
2024-01-02 02:00:00,64.85,155.40,63.84,77.14,140.98,7.98,28.60,1.39,13.47,3.87,NA,NA,NA,4.19,5.63,23.28,82.95,0.07,246.64,NA,0.00,NA,1013.70,NA
2024-01-02 03:00:00,70.08,157.05,68.32,82.56,150.89,8.54,29.00,1.46,13.39,4.15,NA,NA,NA,4.06,6.36,22.68,85.21,NA,281.01,NA,0.00,NA,1013.39,NA
2024-01-02 04:00:00,68.85,148.66,66.76,80.68,147.44,8.35,29.14,1.43,13.60,4.26,NA,NA,NA,3.23,7.74,22.65,86.05,NA,169.58,NA,0.00,NA,1013.35,NA
2024-01-02 05:00:00,74.10,158.35,67.92,82.07,150.00,8.49,29.92,1.44,14.00,3.99,NA,NA,NA,4.66,5.98,22.45,86.51,0.14,150.53,NA,0.00,NA,1013.56,NA
2024-01-02 06:00:00,80.15,167.75,58.67,70.89,129.56,7.33,31.11,1.27,13.81,4.65,NA,NA,NA,3.97,6.07,22.59,83.65,0.06,140.76,NA,0.00,NA,1014.10,NA
2024-01-02 07:00:00,82.29,169.85,51.70,62.47,114.16,6.47,31.70,1.10,12.68,4.32,NA,NA,NA,3.59,4.46,22.66,82.08,0.31,143.88,NA,0.00,10.89,1014.46,NA
2024-01-02 08:00:00,87.66,179.50,52.06,62.90,114.96,6.51,31.68,1.11,11.56,3.86,NA,NA,NA,3.12,3.10,24.04,79.04,0.55,130.48,NA,0.00,90.00,1015.00,NA
2024-01-02 09:00:00,83.76,177.09,49.55,59.87,109.42,6.20,31.82,1.06,11.23,3.93,NA,NA,NA,3.76,5.43,26.34,71.90,0.80,125.35,NA,0.00,192.44,1015.52,NA
2024-01-02 10:00:00,72.67,158.39,44.49,53.75,98.24,5.56,29.10,0.95,11.66,3.55,NA,NA,NA,3.31,3.71,28.78,63.11,1.33,80.99,NA,0.00,369.23,1015.30,NA
2024-01-02 11:00:00,68.86,146.63,42.20,50.99,93.19,5.28,30.18,0.89,18.64,3.74,NA,NA,NA,2.89,4.86,30.42,58.32,1.29,185.42,NA,0.00,471.61,1014.69,NA
2024-01-02 12:00:00,67.64,141.92,41.62,50.29,91.92,5.20,30.15,0.89,27.07,3.03,NA,NA,NA,2.84,4.33,29.98,59.62,2.82,286.20,NA,0.00,493.33,1013.61,NA
