Timestamp,Predicted_PM2.5,Predicted_PM10,Predicted_SO2,Predicted_CO,Predicted_Ozone,Predicted_AT
2025-01-01,4.521754,36.019146,-16.802416,-1.5427549,8.193511,23.19864
2025-01-02,4.627618,35.64382,-16.878017,-1.5390856,8.178526,23.193687
2025-01-03,4.7678046,35.330425,-16.939283,-1.5352638,8.163961,23.190294
2025-01-04,4.940973,35.07512,-16.987682,-1.5312945,8.149815,23.188425
2025-01-05,5.1457357,34.87418,-17.024593,-1.5271835,8.136082,23.188046
2025-01-06,5.38061,34.72417,-17.051285,-1.5229366,8.1227665,23.18912
2025-01-07,5.6441317,34.621635,-17.068909,-1.5185579,8.109868,23.191612
2025-01-08,5.9347334,34.563614,-17.07851,-1.5140532,8.097382,23.195482
2025-01-09,6.250829,34.547337,-17.081005,-1.509425,8.085307,23.200697
2025-01-10,6.590845,34.570026,-17.077177,-1.50468,8.073645,23.207214
2025-01-11,6.953156,34.629242,-17.067719,-1.4998211,8.062388,23.215
2025-01-12,7.3361106,34.72281,-17.053211,-1.4948516,8.051544,23.22401
2025-01-13,7.7381296,34.84862,-17.03412,-1.4897761,8.041105,23.234211
2025-01-14,8.157574,35.004715,-17.010862,-1.4845973,8.031071,23.245558
2025-01-15,8.592896,35.189404,-16.983747,-1.4793181,8.021435,23.258022
2025-01-16,9.042485,35.40117,-16.95304,-1.4739422,8.012206,23.271555
2025-01-17,9.504804,35.638477,-16.91893,-1.4684716,8.003372,23.286118
2025-01-18,9.978383,35.899963,-16.881577,-1.4629098,7.994932,23.301672
2025-01-19,10.46174,36.18459,-16.84109,-1.4572582,7.9868903,23.318176
2025-01-20,10.953441,36.491135,-16.79755,-1.4515197,7.9792395,23.335596
2025-01-21,11.452147,36.81874,-16.751026,-1.4456967,7.971978,23.353882
2025-01-22,11.956495,37.16637,-16.701534,-1.4397906,7.9651027,23.373003
2025-01-23,12.465229,37.533375,-16.649105,-1.4338036,7.9586163,23.392916
2025-01-24,12.977091,37.918953,-16.593758,-1.4277368,7.9525104,23.413578
2025-01-25,13.490958,38.322437,-16.53548,-1.4215933,7.946787,23.434952
2025-01-26,14.005652,38.743263,-16.474276,-1.4153736,7.941439,23.456999
2025-01-27,14.520178,39.18085,-16.410133,-1.4090788,7.936466,23.479671
2025-01-28,15.033459,39.63476,-16.34305,-1.4027112,7.9318657,23.502935
2025-01-29,15.544573,40.104527,-16.273014,-1.3962711,7.9276357,23.52675
2025-01-30,16.052565,40.589745,-16.200022,-1.3897607,7.923771,23.551073
2025-01-31,16.556623,41.090073,-16.124067,-1.3831803,7.9202714,23.575867
2025-02-01,10.6098,38.77289,-16.39179,-1.3696808,8.06324,24.184395
2025-02-02,10.568712,38.29033,-16.470028,-1.3672727,8.050652,24.196644
2025-02-03,10.558652,37.874985,-16.532454,-1.3647108,8.038486,24.210701
2025-02-04,10.578522,37.522675,-16.58062,-1.361999,8.026736,24.22653
2025-02-05,10.627123,37.229267,-16.61601,-1.3591411,8.0154,24.244087
2025-02-06,10.703101,36.991096,-16.640007,-1.356142,8.004481,24.263334
2025-02-07,10.805167,36.804478,-16.653896,-1.3530056,7.993977,24.28423
2025-02-08,10.931862,36.666096,-16.658852,-1.3497345,7.9838843,24.30673
2025-02-09,11.081748,36.57272,-16.655918,-1.3463323,7.974204,24.330791
2025-02-10,11.253343,36.521385,-16.646015,-1.3428026,7.9649286,24.356373
2025-02-11,11.44511,36.50943,-16.629955,-1.3391479,7.9560623,24.383429
2025-02-12,11.655503,36.534195,-16.608429,-1.3353711,7.947603,24.411913
2025-02-13,11.88298,36.593437,-16.582026,-1.3314748,7.9395466,24.441788
2025-02-14,12.1260195,36.684902,-16.551228,-1.3274618,7.931894,24.472998
2025-02-15,12.383047,36.806583,-16.516443,-1.3233345,7.9246383,24.505507
2025-02-16,12.652605,36.956753,-16.47801,-1.3190944,7.917783,24.53926
2025-02-17,12.93312,37.13365,-16.436172,-1.3147446,7.91132,24.574219
2025-02-18,13.223193,37.335743,-16.391153,-1.3102863,7.9052525,24.610329
2025-02-19,13.521393,37.561703,-16.3431,-1.305722,7.8995757,24.647547
2025-02-20,13.8263445,37.810158,-16.292131,-1.3010525,7.894287,24.685823
2025-02-21,14.136668,38.080036,-16.238342,-1.2962805,7.8893843,24.725111
2025-02-22,14.4511,38.370316,-16.18178,-1.2914077,7.884865,24.76536
2025-02-23,14.7684145,38.679955,-16.122488,-1.2864348,7.88073,24.80652
2025-02-24,15.087406,39.008095,-16.060501,-1.281364,7.8769684,24.848545
