Timestamp,Predicted_PM2.5,Predicted_PM10,Predicted_SO2,Predicted_CO,Predicted_Ozone,Predicted_AT
2028-01-01,36.549297,103.05152,7.80628,0.25849175,10.628803,27.906664
2028-01-02,36.414307,101.984955,7.8082366,0.25848722,10.625683,27.739172
2028-01-03,36.283928,100.97929,7.810299,0.2584848,10.622661,27.585094
2028-01-04,36.15815,100.03415,7.8124676,0.2584845,10.619736,27.444244
2028-01-05,36.036976,99.14908,7.81474,0.25848624,10.616911,27.316362
2028-01-06,35.920387,98.32348,7.8171163,0.25849,10.614186,27.201153
2028-01-07,35.808372,97.55667,7.819595,0.25849575,10.611563,27.098272
2028-01-08,35.70093,96.847885,7.822175,0.2585035,10.609042,27.007334
2028-01-09,35.59803,96.19621,7.824855,0.25851318,10.606625,26.927921
2028-01-10,35.49967,95.600685,7.8276343,0.25852478,10.604312,26.859592
2028-01-11,35.405815,95.06023,7.830511,0.25853828,10.602103,26.801882
2028-01-12,35.316463,94.57372,7.8334846,0.25855362,10.599999,26.754313
2028-01-13,35.23159,94.139946,7.8365536,0.25857082,10.5980015,26.716393
2028-01-14,35.15117,93.75764,7.8397164,0.25858983,10.59611,26.687634
2028-01-15,35.075176,93.42546,7.8429723,0.2586106,10.594325,26.667543
2028-01-16,35.003597,93.14203,7.84632,0.25863314,10.592647,26.655628
2028-01-17,34.93639,92.90593,7.8497586,0.25865737,10.591075,26.651413
2028-01-18,34.87353,92.715675,7.853286,0.2586833,10.58961,26.654427
2028-01-19,34.815002,92.5698,7.8569007,0.25871086,10.588252,26.664213
2028-01-20,34.760765,92.46679,7.8606024,0.25874007,10.587001,26.680338
2028-01-21,34.710785,92.405106,7.8643894,0.25877088,10.585856,26.702377
2028-01-22,34.665028,92.38321,7.8682604,0.25880325,10.584818,26.729935
2028-01-23,34.62347,92.399574,7.8722134,0.25883716,10.583885,26.762625
2028-01-24,34.58606,92.45265,7.876248,0.2588726,10.583057,26.800093
2028-01-25,34.552773,92.54089,7.880363,0.2589095,10.5823345,26.842003
2028-01-26,34.52358,92.66281,7.884556,0.25894785,10.581717,26.888039
2028-01-27,34.498413,92.81689,7.888826,0.2589876,10.581201,26.937906
2028-01-28,34.477257,93.00167,7.8931723,0.25902876,10.580789,26.991335
2028-01-29,34.460064,93.21569,7.8975925,0.25907126,10.580478,27.04807
2028-01-30,34.446793,93.45753,7.9020863,0.2591151,10.580268,27.107885
2028-01-31,34.43739,93.72581,7.906651,0.25916022,10.580158,27.170563
2028-02-01,34.476715,95.69161,7.8442793,0.25641635,10.639152,28.717657
2028-02-02,34.318428,94.64098,7.84578,0.25641683,10.635816,28.536818
2028-02-03,34.164692,93.65079,7.8473854,0.25641933,10.632576,28.369547
2028-02-04,34.015507,92.72057,7.8490944,0.25642386,10.629434,28.215729
2028-02-05,33.87087,91.84978,7.850906,0.2564304,10.6263895,28.07518
2028-02-06,33.730774,91.03773,7.8528194,0.25643882,10.623446,27.947659
2028-02-07,33.595215,90.283676,7.8548326,0.25644922,10.620604,27.832872
2028-02-08,33.464176,89.58676,7.8569455,0.25646153,10.617862,27.730488
2028-02-09,33.337654,88.94604,7.8591566,0.2564757,10.615223,27.640127
2028-02-10,33.215637,88.3605,7.8614645,0.2564917,10.612688,27.561377
2028-02-11,33.098106,87.82904,7.863868,0.2565095,10.610257,27.493797
2028-02-12,32.98505,87.3505,7.866367,0.2565291,10.607931,27.436928
2028-02-13,32.876457,86.92364,7.8689594,0.25655046,10.60571,27.39029
2028-02-14,32.7723,86.54716,7.871644,0.25657356,10.603595,27.353394
2028-02-15,32.672565,86.21973,7.874419,0.25659832,10.601586,27.325743
2028-02-16,32.577236,85.93997,7.8772845,0.2566248,10.599685,27.306847
2028-02-17,32.486282,85.70648,7.8802385,0.25665286,10.597889,27.296207
2028-02-18,32.39968,85.517784,7.8832793,0.25668254,10.596201,27.293343
2028-02-19,32.317413,85.37241,7.886407,0.2567138,10.594619,27.297781
2028-02-20,32.23945,85.26889,7.889619,0.25674662,10.593143,27.309061
2028-02-21,32.165756,85.205696,7.8929143,0.25678095,10.591776,27.326738
2028-02-22,32.096317,85.18132,7.8962917,0.25681677,10.590513,27.35039
2028-02-23,32.03109,85.19426,7.89975,0.25685406,10.589358,27.379604
2028-02-24,31.970053,85.24303,7.9032884,0.25689274,10.588307,27.414001
2028-02-25,31.913166,85.32609,7.9069037,0.25693285,10.587362,27.453213
2028-02-26,31.8604,85.44199,7.910597,0.25697434,10.586522,27.496902
2028-02-27,31.811718,85.58928,7.9143653,0.25701714,10.585785,27.544746
2028-02-28,31.767088,85.7665,7.9182076,0.25706124,10.585152,27.596449
2028-02-29,31.726465,85.97227,7.922123,0.25710663,10.58462,27.65173
2028-03-01,32.609505,89.11469,7.8677278,0.25452173,10.649323,29.536743
2028-03-02,32.428562,88.077965,7.8687744,0.25452676,10.645774,29.34252
2028-03-03,32.252083,87.10095,7.869924,0.2545338,10.64232,29.161922
2028-03-04,32.080067,86.18309,7.8711743,0.25454274,10.638963,28.994902
2028-03-05,31.912529,85.32377,7.872526,0.2545536,10.635703,28.841354
2028-03-06,31.749447,84.52226,7.873978,0.25456634,10.632543,28.70111
2028-03-07,31.590836,83.77773,7.8755283,0.25458091,10.629481,28.57394
2028-03-08,31.43668,83.089294,7.877176,0.2545973,10.626523,28.459568
2028-03-09,31.286974,82.45597,7.8789206,0.25461546,10.623666,28.357662
2028-03-10,31.141712,81.8767,7.88076,0.25463542,10.620911,28.26785
2028-03-11,31.000885,81.35037,7.882694,0.2546571,10.61826,28.189735
2028-03-12,30.864481,80.87579,7.884721,0.25468042,10.615713,28.122871
2028-03-13,30.73249,80.45173,7.8868394,0.2547055,10.613272,28.066805
2028-03-14,30.604898,80.0769,7.889048,0.25473213,10.610937,28.021057
2028-03-15,30.481686,79.74996,7.891347,0.25476044,10.608706,27.985138
2028-03-16,30.362844,79.46956,7.8937335,0.2547903,10.606584,27.958555
2028-03-17,30.248346,79.23429,7.8962073,0.25482172,10.604566,27.940805
2028-03-18,30.138178,79.04271,7.8987665,0.25485465,10.602656,27.931396
