Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2021-01-01 00:00:00,204.20,266.08,11.39,31.04,48.44,90.11,7.35,2.09,28.50,5.03,12.88,3.00,NA,2.99,4.00,NA,NA,0.19,109.28,NA,0.00,NA,NA,NA
2021-01-01 01:00:00,192.48,245.42,11.71,30.61,48.51,92.30,10.14,1.86,35.75,4.98,13.19,2.99,NA,3.02,4.06,NA,NA,0.19,112.25,NA,0.00,NA,NA,NA
2021-01-01 02:00:00,170.46,220.11,11.76,26.28,44.24,82.82,15.19,1.46,35.50,4.97,13.02,3.00,NA,3.02,4.00,NA,NA,0.19,102.25,NA,0.00,NA,NA,NA
2021-01-01 03:00:00,262.97,326.20,11.22,28.13,45.27,82.11,5.44,1.62,38.50,5.00,13.15,2.98,NA,3.00,4.02,NA,NA,0.19,91.56,NA,0.00,NA,NA,NA
2021-01-01 04:00:00,204.60,261.74,11.98,26.85,45.16,83.85,6.65,1.43,39.75,4.99,13.06,3.02,NA,3.02,4.00,NA,NA,0.19,91.47,NA,0.00,NA,NA,NA
2021-01-01 05:00:00,191.06,243.33,16.91,27.40,53.24,88.44,8.98,1.52,2.00,5.01,12.85,3.01,NA,3.00,4.04,NA,NA,0.19,90.60,NA,0.00,NA,NA,NA
2021-01-01 06:00:00,227.38,289.86,19.62,26.05,56.03,91.52,5.83,1.46,3.75,4.99,12.98,2.99,NA,3.00,4.00,NA,NA,0.19,90.46,NA,0.00,NA,NA,NA
2021-01-01 07:00:00,219.59,289.68,20.34,28.64,59.72,95.37,6.89,1.43,6.75,5.01,12.94,3.02,NA,3.01,4.00,NA,NA,0.19,83.88,NA,0.00,NA,NA,NA
2021-01-01 08:00:00,435.10,538.21,22.49,27.67,62.04,99.74,6.27,1.29,10.00,4.95,13.09,3.00,NA,3.01,4.03,NA,NA,0.19,75.22,NA,0.00,NA,NA,NA
2021-01-01 09:00:00,490.05,613.92,21.60,29.23,62.24,94.12,6.91,1.06,22.50,5.01,13.18,3.01,NA,3.00,3.99,NA,NA,0.19,70.27,NA,0.00,NA,NA,NA
2021-01-01 10:00:00,162.02,223.12,18.98,28.78,57.78,90.65,8.38,1.07,62.00,5.00,12.92,2.98,NA,3.01,3.95,NA,NA,0.19,82.02,NA,0.00,NA,NA,NA
