Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2022-01-01 00:00:00,181.32,251.14,15.78,1.99,26.92,2.34,7.10,1.55,7.25,14.28,22.27,13.84,NA,66.92,11.32,NA,NA,0.19,65.65,NA,0.00,NA,NA,NA
2022-01-01 01:00:00,194.36,273.16,11.53,12.69,43.13,7.48,10.98,1.16,7.50,14.66,22.87,31.35,NA,67.75,21.99,NA,NA,0.19,68.66,NA,0.00,NA,NA,NA
2022-01-01 02:00:00,174.64,238.13,15.89,10.66,46.45,14.81,11.02,0.99,6.75,15.08,22.64,30.84,NA,66.63,21.62,NA,NA,0.24,66.94,NA,0.00,NA,NA,NA
2022-01-01 03:00:00,138.06,176.26,11.47,2.35,22.25,6.67,7.80,0.69,7.25,14.86,22.03,29.81,NA,63.60,20.94,NA,NA,0.35,62.12,NA,0.00,NA,NA,NA
2022-01-01 04:00:00,96.69,152.85,4.83,2.92,11.92,NA,10.18,0.30,11.25,13.80,20.41,27.51,NA,58.48,19.35,NA,NA,0.19,60.66,NA,0.00,NA,NA,NA
2022-01-01 05:00:00,86.92,134.44,11.42,1.26,15.36,NA,9.28,0.22,10.50,12.47,18.06,14.17,NA,52.04,10.02,NA,NA,0.19,49.36,NA,0.00,NA,NA,NA
2022-01-01 06:00:00,108.74,164.28,9.55,1.85,18.72,0.11,7.27,0.26,8.75,11.37,16.72,5.51,NA,47.00,3.90,NA,NA,0.19,46.96,NA,0.00,NA,NA,NA
2022-01-01 07:00:00,114.74,166.74,6.31,2.50,14.11,1.72,6.03,0.30,6.75,10.62,15.88,4.00,NA,42.96,8.33,NA,NA,0.19,55.87,NA,0.00,NA,NA,NA
2022-01-01 08:00:00,181.58,269.62,6.54,6.74,22.08,9.07,3.34,0.78,7.00,10.19,15.51,19.84,NA,40.44,14.15,NA,NA,0.19,60.98,NA,0.00,NA,NA,NA
2022-01-01 09:00:00,244.80,346.83,11.56,16.02,45.70,6.98,8.67,0.40,14.00,9.99,15.71,20.06,NA,39.39,14.33,NA,NA,0.22,60.50,NA,0.00,NA,NA,NA
2022-01-01 10:00:00,113.32,193.42,17.58,5.32,37.37,23.84,12.71,0.12,36.75,9.82,15.76,19.78,NA,37.44,14.10,NA,NA,0.29,55.03,NA,0.00,NA,NA,NA
2022-01-01 11:00:00,82.83,137.70,13.89,0.22,14.98,1.18,13.77,0.08,59.25,9.12,15.32,19.07,NA,35.26,13.84,NA,NA,0.31,44.65,NA,0.00,NA,NA,NA
2022-01-01 12:00:00,84.28,149.26,11.38,0.36,7.48,NA,9.73,0.26,76.00,8.29,14.33,13.30,NA,32.43,9.97,NA,NA,0.33,5.85,NA,0.00,NA,NA,NA
2022-01-01 13:00:00,116.68,187.94,13.94,0.42,16.04,0.57,8.51,0.16,72.25,7.38,13.68,12.71,NA,28.82,9.85,NA,NA,0.32,38.74,NA,0.00,NA,NA,NA
2022-01-01 14:00:00,105.45,167.06,11.55,2.21,18.40,8.00,7.12,0.39,116.75,6.99,12.75,6.18,NA,26.08,4.88,NA,NA,0.60,64.06,NA,0.00,NA,NA,NA
2022-01-01 15:00:00,114.37,171.92,11.05,3.10,23.35,16.81,7.45,0.58,140.50,7.00,12.04,9.79,NA,25.51,7.70,NA,NA,0.63,34.73,NA,0.00,NA,NA,NA
2022-01-01 16:00:00,110.71,178.28,10.16,12.18,40.66,7.77,8.61,0.24,119.50,7.01,11.82,13.10,NA,26.51,10.51,NA,NA,0.51,29.07,NA,0.00,NA,NA,NA
2022-01-01 17:00:00,105.48,202.81,6.83,12.74,35.86,7.95,6.51,0.40,75.50,6.87,12.63,13.20,NA,26.79,10.54,NA,NA,0.44,57.93,NA,0.00,NA,NA,NA
2022-01-01 18:00:00,109.13,174.40,15.16,2.10,20.45,26.51,7.20,1.54,48.75,7.13,12.36,15.00,NA,29.73,11.35,NA,NA,0.27,46.34,NA,0.00,NA,NA,NA
2022-01-01 19:00:00,112.60,174.89,6.64,0.16,3.76,7.22,10.47,1.49,44.50,8.42,13.74,17.10,NA,34.05,12.48,NA,NA,0.27,278.87,NA,0.00,NA,NA,NA
2022-01-01 20:00:00,111.50,186.80,8.92,1.78,12.27,NA,12.87,1.28,30.00,9.41,13.57,12.73,NA,35.29,9.35,NA,NA,0.27,355.40,NA,0.00,NA,NA,NA
2022-01-01 21:00:00,134.15,213.16,12.08,2.01,23.32,0.03,6.03,1.39,17.75,10.10,13.95,8.96,NA,39.04,6.37,NA,NA,0.24,NA,NA,0.00,NA,NA,NA
