Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT,RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2024 00:00,53.55,90.08,20.59,22.84,43.44,3.37,8.91,0.38,9.98,0.03,NA,NA,NA,0.49,0.25,23.49,82.61,0.42,52.73,NA,0,NA,1012.2,NA
01-01-2024 01:00,57.39,89.99,23.07,25.59,48.66,3.78,8.72,0.42,10.08,0.06,NA,NA,NA,0.09,0.16,23.48,82.11,0.44,52.22,NA,0,NA,1011.92,NA
01-01-2024 02:00,63.97,103.07,20.65,22.91,43.56,3.38,8.78,0.38,10.39,0.03,NA,NA,NA,0.02,0.79,23.51,82.19,0.44,51.26,NA,0,NA,1011.38,NA
01-01-2024 03:00,68.82,105.6,21.31,23.64,44.95,3.48,9.03,0.39,9.06,0.02,NA,NA,NA,0.14,0.04,23.19,86.1,0.44,49.54,NA,0,NA,1011.13,NA
01-01-2024 04:00,69.08,106.86,22.96,25.47,48.43,3.76,9.25,0.42,9.69,0.08,NA,NA,NA,NA,0.2,23.08,85.71,0.43,51.03,NA,0,NA,1011.08,NA
01-01-2024 05:00,75.38,124.79,22.03,24.43,46.46,3.61,8.96,0.4,9.6,0,NA,NA,NA,0.15,0.4,23.06,82.29,0.42,54.46,NA,0,NA,1011.5,NA
01-01-2024 06:00,76.5,120.17,17.45,19.35,36.8,2.85,8.39,0.32,9.64,0.04,NA,NA,NA,0.45,0.14,22.81,80.86,0.43,51.94,NA,0,NA,1012.11,NA
01-01-2024 07:00,73.1,111.69,19.03,21.11,40.14,3.12,8.25,0.35,10.39,0.11,NA,NA,NA,NA,0.09,22.68,82.74,0.38,49.76,NA,0,NA,1012.71,NA
01-01-2024 08:00,68.25,114.43,19.62,21.76,41.37,3.21,7.99,0.36,9.28,0.03,NA,NA,NA,0.12,0.44,24.14,77.18,0.43,54.34,NA,0,NA,1013.3,NA
01-01-2024 09:00,70.9,118.57,17.53,19.44,36.97,2.87,7.98,0.32,10.55,0.05,NA,NA,NA,0.13,0.15,24.39,77.3,0.51,57.44,NA,0,NA,1014.21,NA
01-01-2024 10:00,69.38,115.84,17.4,19.3,36.71,2.85,7.74,0.32,9.6,0.18,NA,NA,NA,0.26,0.14,24.94,75.55,0.5,58.2,NA,0,NA,1014.16,NA
01-01-2024 11:00,68.15,111.17,16.67,18.48,35.15,2.73,7.4,0.3,9.34,0.08,NA,NA,NA,NA,NA,25.26,73.21,0.55,62.74,NA,0,NA,1013.62,NA
01-01-2024 12:00,59.5,97.61,16.06,17.81,33.86,2.63,8.09,0.29,7.91,0.14,NA,NA,NA,0.11,0.22,27.04,66.87,0.74,66.08,NA,0,NA,1012.5,NA
01-01-2024 13:00,61.4,93.18,16.88,18.72,35.59,2.76,8.46,0.3,7.48,0.05,NA,NA,NA,0.06,1.03,29.12,66.4,3.14,235.67,NA,0,NA,1011.33,NA
01-01-2024 14:00,62.42,98.88,15.09,16.73,31.82,2.47,8.83,0.28,8.27,0,NA,NA,NA,0.59,NA,26.54,73.21,0.55,41.33,NA,0,NA,1010.45,NA
01-01-2024 15:00,55.3,89.26,14.74,16.35,31.1,2.42,9.32,0.26,8.43,0.11,NA,NA,NA,0.68,NA,26.45,74.22,0.55,44.76,NA,0,NA,1010.02,NA
01-01-2024 16:00,57.4,87.2,14.49,16.07,30.56,2.37,9.24,0.26,8.31,0.01,NA,NA,NA,0.79,0.3,25.89,78.17,0.53,43.47,NA,0,NA,1009.78,NA
01-01-2024 17:00,55.88,84.51,14.15,15.69,29.84,2.32,9.29,0.26,7.7,0,NA,NA,NA,0.92,0.12,25.76,79.25,0.53,39.74,NA,0,NA,1010,NA
01-01-2024 18:00,54.65,82.66,14.43,16,30.43,2.36,9.06,0.26,9.25,0,NA,NA,NA,0.5,0.28,25.1,81.49,0.48,47.16,NA,0,NA,1010.62,NA
01-01-2024 19:00,64.24,88.44,16.23,18,34.23,2.65,8.83,0.3,7.61,0.11,NA,NA,NA,0.26,NA,24.51,86.49,0.49,40.41,NA,0,NA,1011.45,NA
01-01-2024 20:00,65.15,100.96,15.88,17.61,33.5,2.6,8.85,0.29,7.99,0.15,NA,NA,NA,NA,0.22,24.12,88.24,0.46,43.68,NA,0,NA,1012.35,NA
01-01-2024 21:00,61.18,92.55,14.6,16.2,30.8,2.39,8.4,0.27,6.9,0,NA,NA,NA,0.3,NA,24.13,81.13,0.45,42.7,NA,0,NA,1012.84,NA
01-01-2024 22:00,61.35,90.4,16.57,18.38,34.95,2.71,8.13,0.3,8.61,0.1,NA,NA,NA,0.19,0.78,24.14,77.01,0.43,44.71,NA,0,NA,1012.96,NA
01-01-2024 23:00,65.32,97.34,16.81,18.64,35.45,2.75,8.43,0.31,7.96,0.02,NA,NA,NA,0.12,NA,23.96,75.57,0.42,46.3,NA,0,NA,1012.65,NA
02-01-2024 00:00,64.3,96.04,18.74,20.79,39.52,3.07,8.6,0.34,6.5,0.08,NA,NA,NA,0.46,0.22,23.27,79.8,0.4,46.28,NA,0,NA,1012.04,NA
02-01-2024 01:00,62.3,95.2,18.06,20.04,38.11,2.96,8.43,0.33,6.86,0.33,NA,NA,NA,NA,0.08,23.08,80.36,0.4,45.71,NA,0,NA,1011.52,NA
02-01-2024 02:00,63.28,91.16,16.14,17.9,34.04,2.64,8.93,0.29,9.22,0.1,NA,NA,NA,0.25,0.43,23.02,79.36,0.39,46.72,NA,0,NA,1011.24,NA
02-01-2024 03:00,63.5,88.52,16.33,18.11,34.44,2.67,9.08,0.3,9.72,0,NA,NA,NA,0.38,NA,22.72,81.03,0.38,47.26,NA,0,NA,1010.96,NA
02-01-2024 04:00,63.5,91.37,17.55,19.46,37.01,2.87,8.75,0.32,9.59,0,NA,NA,NA,NA,0.23,22.67,81.63,0.4,53.7,NA,0,NA,1010.86,NA
02-01-2024 05:00,70.75,94.69,22.29,24.72,47.01,3.64,8.86,0.4,9.56,0.09,NA,NA,NA,0.55,0.15,22.52,82.29,0.4,51.56,NA,0,NA,1011.1,NA
02-01-2024 06:00,77.53,106.65,20.58,22.83,43.4,3.37,8.34,0.38,10.31,0.03,NA,NA,NA,NA,0.01,22.55,82.73,0.41,51.41,NA,0,NA,1011.7,NA
