Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT,RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2021 00:00,74.94,NA,3.8,40.5,44.31,17.46,2.83,1.73,5.72,0.07,NA,NA,NA,0.08,NA,22.92,84.63,1.94,211.94,NA,0,0.01,NA,NA
01-01-2021 01:00,83.82,NA,4.14,31.89,36.03,16.25,4.01,1.74,7.98,0.09,NA,NA,NA,NA,0.36,22.68,86.24,1.94,53.72,NA,0,0.01,NA,NA
01-01-2021 02:00,65.42,NA,4.54,36.92,41.45,14.86,1.65,1.68,5.26,0.02,NA,NA,NA,0.44,0.04,22.54,87.42,1.94,54.04,NA,0,0.01,NA,NA
01-01-2021 03:00,74.78,NA,4.78,36.93,41.7,14.78,1.55,1.66,4.03,0,NA,NA,NA,0.11,0.06,22.35,87.72,1.95,76.88,NA,0,0.01,NA,NA
01-01-2021 04:00,75,NA,3.86,28.64,32.49,13.84,1.56,1.69,3.6,0.06,NA,NA,NA,NA,0.21,22.32,88.43,1.95,219.43,NA,0,0.01,NA,NA
01-01-2021 05:00,75.98,NA,7.16,57.84,65,16.88,1.63,1.7,2.03,0.14,NA,NA,NA,0.2,0.18,22.5,87.06,1.91,209.76,NA,0,0.01,NA,NA
01-01-2021 06:00,82.84,NA,56,96.25,152.26,29.44,3.06,1.74,1.27,0.06,NA,NA,NA,0.04,0.14,22.49,82.46,1.98,55.36,NA,0,0.02,NA,NA
01-01-2021 07:00,111.44,NA,58.06,88.46,146.51,25.78,3.42,1.83,1.54,0.09,NA,NA,NA,0.44,0.05,22.28,85.16,2.03,55.86,NA,0,0.02,NA,NA
01-01-2021 08:00,118.88,NA,87.34,91.43,178.76,30.37,5.16,1.97,1.46,0.06,NA,NA,NA,0.14,NA,22.93,82.76,1.86,231.4,NA,0,0.01,NA,NA
01-01-2021 09:00,141.55,NA,65.17,100.73,165.9,30.42,4.98,2.05,1.58,0.01,NA,NA,NA,0.15,0.4,23.66,79.9,1.84,230.83,NA,0,0.01,NA,NA
01-01-2021 10:00,119.45,143,30.74,99.36,130.09,25.76,6.24,2.06,3.57,0,NA,NA,NA,0.35,NA,24.88,73.05,1.86,231.54,NA,0,NA,NA,NA
01-01-2021 11:00,104.25,135.09,17.88,98.92,116.81,24.86,8.5,1.99,6.3,0.12,NA,NA,NA,NA,0.33,25.86,67.66,1.86,231.72,NA,0,NA,NA,NA
01-01-2021 12:00,109.9,135.99,18.01,123.38,141.4,27.28,10.84,1.95,7.26,0.02,NA,NA,NA,0.24,1,26.26,70.09,1.87,232.08,NA,0,NA,NA,NA
01-01-2021 13:00,114.9,138.97,11.91,77.07,88.97,24.22,10.98,1.9,13.18,0.14,NA,NA,NA,0.31,0.2,28.06,60.24,1.87,232.28,NA,0,NA,NA,NA
01-01-2021 14:00,71.98,104.47,10.64,46.98,57.62,21.54,9.84,1.68,14.3,0.02,NA,NA,NA,NA,NA,30.17,54.78,1.92,212.48,NA,0,NA,NA,NA
01-01-2021 15:00,55.31,82.24,10.83,48.31,59.14,25.76,9.4,1.55,15.46,0.11,NA,NA,NA,0.18,0.21,28.75,62.94,1.95,54.82,NA,0,NA,NA,NA
01-01-2021 16:00,60.87,82,7.68,34.36,42.04,29.2,6.32,1.5,12.4,0.02,NA,NA,NA,1.05,0.23,27.11,72.39,1.95,100.45,NA,0,NA,NA,NA
01-01-2021 17:00,50.22,72.11,5.6,28.84,34.43,28.2,4.52,1.4,9.25,0.06,NA,NA,NA,0.09,0.33,26.12,77.37,1.94,211.57,NA,0,NA,NA,NA
01-01-2021 18:00,40.2,58.16,5.29,24.9,30.19,25.48,3.21,1.29,11.9,0.22,NA,NA,NA,0.57,0.49,25.07,83.62,1.92,52,NA,0,0.01,NA,NA
01-01-2021 19:00,49.78,83.64,4.77,33.44,38.2,25.05,2.87,1.34,13.58,0,NA,NA,NA,0.58,NA,24.14,86.54,1.92,52.16,NA,0,0.01,NA,NA
01-01-2021 20:00,76.55,109.71,4.43,34.1,38.52,24.22,1.87,1.38,12.72,0.09,NA,NA,NA,0.06,0.5,23.93,82.93,1.92,52.26,NA,0,NA,NA,NA
01-01-2021 21:00,76.02,113.96,4.69,37,41.7,24.34,1.2,1.44,11.68,0.22,NA,NA,NA,0.13,NA,24.08,77.71,1.95,148.62,NA,0,NA,NA,NA
01-01-2021 22:00,72.09,109.07,5.82,53.96,59.79,25.14,1.23,1.53,6.1,0,NA,NA,NA,0.23,0.08,23.96,78.55,1.92,234.1,NA,0,NA,NA,NA
01-01-2021 23:00,80.8,118.86,7.64,64.64,72.27,26.3,1.11,1.74,6.01,0.03,NA,NA,NA,0.15,0.16,23.69,81.43,1.92,211.05,NA,0,NA,NA,NA
02-01-2021 00:00,81,116.08,4.5,28.8,33.29,22.24,0.74,1.75,10.11,0.16,NA,NA,NA,NA,NA,23.59,85.03,1.94,53.82,NA,0,0.01,NA,NA
02-01-2021 01:00,79.09,104.34,4.17,23.86,28.04,21.17,0.31,1.67,10.55,0.24,NA,NA,NA,NA,NA,23.54,84.96,1.94,53.03,NA,0,NA,NA,NA
02-01-2021 02:00,77.04,106.97,4.34,21.18,25.51,20.24,0.26,1.6,9.24,0.07,NA,NA,NA,0.45,0.51,23.43,84.13,1.94,235.52,NA,0,NA,NA,NA
02-01-2021 03:00,74.12,107,3.6,18.55,22.14,19.94,0.03,1.58,10.56,0.04,NA,NA,NA,0.4,0.34,23.13,85.56,1.92,52.43,NA,0,NA,NA,NA
02-01-2021 04:00,64.22,106.02,3.22,17.17,20.4,18.55,0.02,1.45,10.68,0,NA,NA,NA,0.34,0.37,22.93,86.4,1.91,51.66,NA,0,0.01,NA,NA
