Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT,RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2020 00:00,69.39,160.72,30.6,95.46,126.06,4.17,11.92,0.76,7.6,2.06,NA,NA,NA,NA,3.65,19.9,61.98,48.25,232.35,NA,0,NA,NA,NA
01-01-2020 01:00,91.59,227.92,123.42,79.85,203.29,4.24,13.03,1.12,7.54,2.04,NA,NA,NA,1.1,12.06,19.73,62.55,23.26,208.65,NA,0,NA,NA,NA
01-01-2020 02:00,119.67,245.54,124.84,77.56,202.39,3.45,15.08,1.18,6.4,1.98,NA,NA,NA,15.7,4,19.62,64.54,13.86,172.24,NA,0,NA,NA,NA
01-01-2020 03:00,120.67,203.58,65.5,95.7,161.2,4.57,15.38,0.8,6.16,6.32,NA,NA,NA,NA,3.2,19.7,69.33,43.89,129.05,NA,0,NA,NA,NA
01-01-2020 04:00,108.5,176.92,44.67,83.17,127.86,5.31,9.63,0.58,4.89,6.1,NA,NA,NA,3.34,7.64,19.44,73.07,27.59,145.3,NA,0,NA,NA,NA
01-01-2020 05:00,108.71,187.5,34.34,77.48,111.82,8.22,15.13,0.75,7.05,4.47,NA,NA,NA,5.8,11.91,19.34,75.23,46.43,227.94,NA,0,NA,NA,NA
01-01-2020 06:00,122,193.83,22.38,69.62,91.99,9.22,21.6,0.59,13.79,5.67,NA,NA,NA,0.94,16.13,19.44,75.82,40.47,212.65,NA,0,NA,NA,NA
01-01-2020 07:00,NA,NA,10.05,63.56,73.62,10.8,23.92,0.66,23.8,4.18,NA,NA,NA,NA,20.73,19.41,75.48,43.95,108.36,NA,0,7.88,NA,NA
01-01-2020 08:00,NA,NA,8.91,49.52,58.44,10.04,25.78,0.78,40.75,8.48,NA,NA,NA,NA,7.06,20.09,72.62,36.87,53.6,NA,0,97.06,NA,NA
01-01-2020 09:00,87,167.33,17.15,58.49,75.66,8.57,31.94,0.84,50.44,10.3,NA,NA,NA,NA,4.63,20.69,68.47,31.72,54.34,NA,0,266.66,NA,NA
01-01-2020 10:00,86.83,150,7.42,37.83,45.24,9.82,NA,0.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2020 11:00,87.02,138.92,6.2,41.39,47.58,9.4,46.57,0.69,132.96,23.75,NA,NA,NA,NA,6.76,24.79,53.42,26,233.96,NA,0,583.16,NA,NA
01-01-2020 12:00,92.17,148.6,4.5,29.31,33.8,10.77,39.52,0.66,138.82,17.51,NA,NA,NA,3.9,8.27,26.12,50.28,25.79,122.24,NA,0,605.68,NA,NA
01-01-2020 13:00,90.8,143.25,2.54,16.13,18.68,10.14,19.15,0.7,163.13,10.38,NA,NA,NA,0.44,9.24,25.84,51.57,25.82,162.93,NA,0,334.92,NA,NA
01-01-2020 14:00,82.07,135,2.61,15.63,18.24,10.67,19.33,0.77,190.98,6.36,NA,NA,NA,NA,1.76,24.73,55.88,25.79,233.18,NA,0,226.71,NA,NA
01-01-2020 15:00,93.72,136.45,2.26,18.12,20.37,11.32,18.93,0.88,NA,8.25,NA,NA,NA,1.35,8.86,24.34,58.98,25.7,121.8,NA,0,68.71,NA,NA
01-01-2020 16:00,103.7,153.25,2.54,20.16,22.69,11.8,15.94,0.79,NA,5.69,NA,NA,NA,NA,7.89,24.14,62.76,25.79,51.52,NA,0,33.21,NA,NA
01-01-2020 17:00,109.97,153.9,2.02,19.04,21.06,11.12,11.68,0.67,178.47,5.28,NA,NA,NA,0.43,1.47,23.66,65.39,25.92,52.42,NA,0,4.44,NA,NA
01-01-2020 18:00,94.58,128.08,1.73,17.95,19.68,9.09,8.84,0.7,135.16,5.23,NA,NA,NA,0.01,5.49,23.06,64.11,25.9,51.84,NA,0,NA,NA,NA
01-01-2020 19:00,67.66,107.97,2.84,31.08,33.93,8.47,8.23,0.74,115.71,3.39,NA,NA,NA,0.88,5.56,22.63,66.26,25.65,162.06,NA,0,NA,NA,NA
01-01-2020 20:00,70.07,119,7.4,66.03,73.42,8.65,8.58,0.66,71.48,0,NA,NA,NA,NA,NA,22.03,70.09,25.77,122.17,NA,0,NA,NA,NA
01-01-2020 21:00,90.17,171.87,17.58,102.23,119.8,6.62,9.09,0.72,38.57,0.41,NA,NA,NA,6.71,7.08,21.92,70.24,25.88,51.94,NA,0,NA,NA,NA
01-01-2020 22:00,95.07,161.01,16.3,45.35,61.64,9.78,8.44,0.85,92.68,0.78,NA,NA,NA,4.73,7.32,21.79,73.24,25.63,50.83,NA,0,NA,NA,NA
01-01-2020 23:00,116.67,184,4.2,30.09,34.28,11.07,8.62,0.73,111.88,2.88,NA,NA,NA,1.47,29.1,21.5,76.45,25.77,51.17,NA,0,NA,NA,NA
02-01-2020 00:00,126.86,180.33,7.91,58.52,66.45,9.38,6.24,0.57,57.75,2.8,NA,NA,NA,2.5,16.82,21.02,77.07,27.51,51.74,NA,0,NA,NA,NA
02-01-2020 01:00,137.52,195,5.6,46.1,51.69,9.59,6.02,0.59,90.82,2.49,NA,NA,NA,1.25,3.31,21.04,75.98,30.55,50.91,NA,0,NA,NA,NA
02-01-2020 02:00,145.17,193.39,4.31,40.96,45.27,9.02,7.75,0.69,99.38,2.78,NA,NA,NA,3.25,8.74,21.07,72.34,27.34,145.31,NA,0,NA,NA,NA
02-01-2020 03:00,142.61,183.42,2.94,24.63,27.57,8.51,10,0.68,111.97,4.82,NA,NA,NA,4.16,15.58,21.04,70.77,26.65,182.41,NA,0,NA,NA,NA
02-01-2020 04:00,127.52,167,4.26,33.14,37.4,9.99,10.19,0.78,82.6,7.67,NA,NA,NA,3.86,26.33,20.63,73.18,40.33,232.24,NA,0,NA,NA,NA
