Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT,RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
01-01-2022 00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 01:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 02:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 03:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 04:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 05:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 07:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 08:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 09:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 10:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
01-01-2022 11:00,49,93,2.35,11.05,13.4,8.5,21.35,0.78,16.63,0.15,NA,NA,NA,NA,1.6,25.62,62.79,1.85,229.79,NA,0,NA,NA,NA
01-01-2022 12:00,50.04,104.1,2.05,10.95,13.01,8.6,22.34,0.76,16.29,0.59,NA,NA,NA,NA,0.27,26.76,60.21,1.9,232.09,NA,0,NA,NA,NA
01-01-2022 13:00,63.64,134.91,1.71,11.32,13.03,8.55,23.8,0.76,16.15,0.88,NA,NA,NA,0.15,0.24,27.48,59.1,1.9,232.32,NA,0,NA,NA,NA
01-01-2022 14:00,59.56,140.16,1.05,10.04,11.09,8.71,24.11,0.8,16.41,0.64,NA,NA,NA,0.21,0.14,26.96,62.5,1.95,174.44,NA,0,NA,NA,NA
01-01-2022 15:00,66.2,128.81,0.76,8.84,9.59,8.79,23.38,0.81,16.05,0.51,NA,NA,NA,0.35,0.07,26.18,70.4,1.91,50.5,NA,0,NA,NA,NA
01-01-2022 16:00,55.44,115.17,0.45,8.03,8.49,8.54,22,0.79,16.07,0.59,NA,NA,NA,0.23,0.18,25.91,71.01,1.91,50.96,NA,0,NA,NA,NA
01-01-2022 17:00,47.52,104.12,0.48,7.67,8.14,8.53,20.12,0.74,16.28,0.28,NA,NA,NA,1.03,0.15,25.67,68.84,1.94,149.83,NA,0,NA,NA,NA
01-01-2022 18:00,41.9,100.34,0.42,7.72,8.14,8.59,19.08,0.74,16.34,0.09,NA,NA,NA,NA,0.4,24.52,77.9,1.96,234.09,NA,0,NA,NA,NA
01-01-2022 19:00,53.44,105.24,0.16,7.55,7.69,8.34,18.2,0.68,15.88,0.42,NA,NA,NA,NA,0.12,24.03,76.56,1.95,160.52,NA,0,NA,NA,NA
01-01-2022 20:00,46.07,96.81,0.36,7.28,7.64,8.38,19.79,0.69,16.08,0.05,NA,NA,NA,0.18,0.22,24.12,70.56,1.91,51.26,NA,0,NA,NA,NA
01-01-2022 21:00,46.58,90.35,0.47,7.01,7.47,8.3,22.39,0.7,16.1,0.38,NA,NA,NA,NA,0.66,24.06,69.9,1.91,51.15,NA,0,NA,NA,NA
01-01-2022 22:00,42.01,99.8,0.7,7.12,7.82,8.29,24.92,0.75,16.19,0.03,NA,NA,NA,NA,0.23,23.56,76.59,1.93,117,NA,0,NA,NA,NA
01-01-2022 23:00,55.49,120.02,1.92,7.54,9.46,8.29,27.27,0.95,16.26,0.17,NA,NA,NA,0.6,0.28,23.08,78.4,1.94,232.71,NA,0,NA,NA,NA
02-01-2022 00:00,62.62,142.42,9.22,8.94,18.17,8.48,28.4,1.18,16.36,0.11,NA,NA,NA,0.2,0.44,23.02,78.63,1.94,233.06,NA,0,NA,NA,NA
02-01-2022 01:00,71,159.64,17.52,9,26.51,8.34,27.04,1.27,16.52,1.07,NA,NA,NA,1.28,0.62,22.62,84,1.92,232.9,NA,0,NA,NA,NA
02-01-2022 02:00,82,176.67,14.53,10.08,24.6,8.36,23.01,1.24,16.47,1.91,NA,NA,NA,2.43,1.21,22.89,75.42,1.94,197.89,NA,0,NA,NA,NA
